Seat,First_Name,Last_Name,Party,Votes,Year,Won
Accounting,Jonathon,Nickas,Impact,113,2017,TRUE
Accounting,,,,,2017,
Achitecture,Raymond,Vista,Impact,41,2017,TRUE
Achitecture,,,,,2017,
Agriculture,Chase,Brannan,Impact,391,2017,TRUE
Agriculture,Audra,Weeks,Impact,339,2017,TRUE
Agriculture,Herin,Warner,Impact,328,2017,TRUE
Agriculture,,,,,2017,
Agriculture,,,,,2017,
Agriculture,,,,,2017,
Arts,Carina,Krehl,Impact,38,2017,TRUE
Arts,,,,,2017,
Building Construction,Tyler,Brewer,Impact,52,2017,TRUE
Building Construction,,,,,2017,
Business,Ian,Green,Impact,661,2017,TRUE
Business,Nick,Adams,Impact,634,2017,TRUE
Business,Jacob,Martinez,Impact,614,2017,TRUE
Business,Kevin,Rivera,Progress,144,2017,
Business,,,,,2017,
Business,,,,,2017,
CLAS,Janae,Moodie,Impact,796,2017,TRUE
CLAS,Leah,Gorshein,Impact,793,2017,TRUE
CLAS,Izzy,Muncan,Impact,784,2017,TRUE
CLAS,Steve,Baldizon,Impact,775,2017,TRUE
CLAS,Marie,Nanney,Impact,758,2017,TRUE
CLAS,Stefan,Sanguyo,Impact,746,2017,TRUE
CLAS,Chase,Werther,Independent,345,2017,
CLAS,Ivan,Grela,Progress,244,2017,
CLAS,Stephen,Keith,Progress,238,2017,
CLAS,,,,,2017,
CLAS,,,,,2017,
CLAS,,,,,2017,
CLAS,,,,,2017,
Dentistry,Galia,Fakhri-Medrano,Write-In,2,2017,TRUE
Dentistry,,,,,2017,
Dentistry,,,,,2017,
Education,Lauren,Barnard,Impact,57,2017,TRUE
Education,,,,,2017,
Engineering,Alexander,Esperanza,Impact,429,2017,TRUE
Engineering,Brady,Walters,Impact,420,2017,TRUE
Engineering,Paulo,Bazan,Impact,413,2017,TRUE
Engineering,Jack,Wanamaker,Impact,411,2017,TRUE
Engineering,Gantt,Meredith,Progress,184,2017,
Engineering,,,,,2017,
Engineering,,,,,2017,
Engineering,,,,,2017,
Freshman,Maddie,Cohen,Impact,489,2017,TRUE
Freshman,Noah,Harden,Impact,381,2017,TRUE
Freshman,Andrea,Rangel,Impact,339,2017,TRUE
Freshman,,,,,2017,
Freshman,,,,,2017,
Freshman,,,,,2017,
Graduate,Sunal,Mittal,Impact,148,2017,TRUE
Graduate,Pulkit,Dhir,Independent,118,2017,TRUE
Graduate,Yue,Rong,Impact,117,2017,TRUE
Graduate,Lucas,Luo,Impact,115,2017,TRUE
Graduate,Yong,Shen,Impact,112,2017,TRUE
Graduate,Clay,Hurdle,Impact,95,2017,TRUE
Graduate,Rosario,Argento,Impact,91,2017,TRUE
Graduate,Justin,Clonts,Impact,87,2017,TRUE
Graduate,Brent,Ziegler,Impact,86,2017,TRUE
Graduate,Alex,Nelson,Impact,85,2017,TRUE
Graduate,Kendrick,Mir,Impact,83,2017,
Graduate,,,,,2017,
Graduate,,,,,2017,
Graduate,,,,,2017,
Graduate,,,,,2017,
Graduate,,,,,2017,
Graduate,,,,,2017,
Graduate,,,,,2017,
Graduate,,,,,2017,
Graduate,,,,,2017,
Graduate,,,,,2017,
Health_Human,Elizabeth,Wilson,Impact,276,2017,TRUE
Health_Human,,,,,2017,
Journalism,Marcella,Astudillo,Impact,324,2017,TRUE
Journalism,Sadie,Cannon,Impact,286,2017,TRUE
Journalism,Jacob,McManamon,Progress,79,2017,
Journalism,,,,,2017,
Law,Allie,Watson,Impact,40,2017,TRUE
Law,,,,,2017,
Medicine,Michael,Schmoll,Impact,18,2017,TRUE
Medicine,,,,,2017,
Nursing,Sarah,Lazarus,Impact,105,2017,TRUE
Nursing,,,,,2017,
Pharmacy,Dean,Hasan,Impact,25,2017,TRUE
Pharmacy,,,,,2017,
Public_Health,Molly,Cuthbertson,Impact,195,2017,TRUE
